Akkermansiaceae [Family],Prevotellaceae [Family],Bacteroidaceae [Family],Muribaculaceae [Family],Marinifilaceae [Family],Tannerellaceae [Family],Rikenellaceae [Family],Desulfovibrionaceae [Family],Deferribacteraceae [Family],Enterobacteriaceae [Family],Butyricicoccaceae [Family],Peptococcaceae [Family],Ruminococcaceae [Family],Acholeplasmataceae [Family],Anaerovoracaceae [Family],Eggerthellaceae [Family],Lachnospiraceae [Family],Bifidobacteriaceae [Family],Sutterellaceae [Family],Monoglobaceae [Family],Oscillospiraceae [Family],Lactobacillaceae [Family],Enterococcaceae [Family],Clostridiaceae [Family],Erysipelotrichaceae [Family],Erysipelatoclostridiaceae [Family]
0,9.92624054,17.0565047,112.468261,0,1.110513703,11.86555367,4.119587009,2.716763346,0,6.639939059,0.444031216,10.77355443,0,2.688063089,1.88476844,214.4097593,0,0.664053455,1.324389939,26.73350883,38.34576999,0,0,2.957506064,0
0,9.497949287,19.86080995,184.6543375,3.807628518,4.165744212,28.7613197,3.02824666,1.708042411,0,1.753504785,0,5.532393198,0.891281274,1.796989897,3.121347088,118.7888826,0,4.956104832,0.344737568,15.13734452,35.52705037,0,1.380829499,6.678187966,0
0,10.30117107,15.92753494,137.2448371,2.974279525,3.025714254,14.86772974,4.761232215,2.375511281,2.556797105,5.203547642,1.055307031,13.53198714,0,0.944740989,3.604848088,195.7351584,0,2.840138545,1.868817894,31.53537916,22.34149955,0,0.12732026,3.658857673,0
0,9.799032783,12.68543287,111.174397,1.556246951,1.627705915,12.0136463,3.62170225,1.871327997,0.206320234,1.923971731,0.968460286,21.62718519,0,0.968460286,2.784218432,173.1100302,0,1.395904301,0,25.81403373,18.83965345,0,0,3.563714993,0
0,12.25194858,21.0035617,149.2297368,2.050347197,3.247684272,17.66544651,2.449503136,1.024494262,3.974458118,3.450693311,1.298931108,11.99428132,1.215549499,1.124577721,3.288606512,141.0022321,0,0.913268627,0,24.02108038,27.72429411,0,0.788105484,6.6837713,0
0,8.923365145,11.1024497,86.82526063,1.419085475,0,12.91498507,7.519685821,3.352763056,0,5.996932435,0.402151217,25.13876252,3.141091905,5.159883053,4.149887124,253.0167297,0,1.179855786,0.787813698,36.23765172,11.80711438,0,0,3.082722458,0
0,9.337554729,17.05207616,139.9278169,1.867711366,0.823907314,11.98433256,4.603541131,1.779418759,0,4.555371211,0.438244833,19.52462678,0.002926762,3.062703498,1.612364674,182.5739955,0,1.974479342,0.438244833,34.45277481,35.00299754,0,0,3.696178214,0
0,7.494734397,11.66679156,86.28251361,1.157039878,0,13.62831819,8.388538825,0,0,7.353729005,2.23391218,11.0993828,0,1.521451378,3.600030479,240.0159636,0,1.454918533,0.431102875,44.77690732,24.76815391,0,0,2.876344268,0
0,4.921415904,11.710205,87.18038521,1.607527671,0,9.884885016,4.801480087,2.982216486,0,4.955708357,1.695820278,21.71092408,0,3.127584236,2.009108203,288.5987162,0,0,0,47.88052396,14.88369002,0,0,1.146712468,0
0,9.329226296,20.83613998,100.095001,1.843392632,1.592078204,22.3095418,4.234264206,1.700291788,0,3.178393699,1.968555775,14.07496686,2.354218256,0.86925083,2.236775089,197.5085517,0,2.07978141,0,33.69327278,15.1103281,0,0,1.533237704,0
0,8.725427496,14.66753246,96.68204316,1.040419912,0.050021208,8.202126401,4.709825256,2.901172253,0,8.039359385,0.919059055,14.55488931,0,2.447400559,1.633276397,245.5316822,0,0.919059055,1.595945715,39.5270403,17.35796504,0,0,3.256512974,0
0,7.00970556,10.6986123,114.8847093,1.616801794,1.023027087,11.97416879,7.177439205,1.755914596,0,5.450533236,0,19.33661593,0,3.141740345,2.386899595,250.7471453,0,1.855075825,1.023027087,30.95023571,6.202599309,0,0,2.007229024,0
0,11.51241912,16.42417612,128.8881363,1.885518935,1.302913629,18.99825706,5.122450212,1.391861115,0,5.23942274,2.05257302,16.6322345,0,2.638808971,2.445437578,180.1153571,3.402499737,1.980121359,0.677207729,35.86253481,25.89929509,0,0.909009344,4.570868692,0
0,13.17040088,21.19246809,126.9782356,2.053012678,2.56815585,35.09345243,3.672293014,0.834855239,0,5.00409919,0,7.254088947,0.73477178,2.756383924,1.760624715,163.9974324,0,2.080452643,1.722158434,32.47410954,31.48332262,0,1.453894447,2.540064115,0
0,9.379321812,14.38226277,97.85702786,1.683273319,0.866017647,15.13189096,4.540144325,2.843703039,0,5.928973031,0,13.36524336,0.305637021,2.967521375,1.760882315,226.7835634,1.858322117,0,0.234178057,38.32922537,15.1667008,0,0,3.128068723,0
0,11.49952106,18.42955982,113.4282148,1.415500824,1.851934511,13.59038679,5.24394608,2.100679835,0,6.564644184,0,16.03625454,0,2.944111247,1.475226962,213.4971815,2.633658264,1.446753368,1.666815253,40.68453906,10.71685371,0,0.316888536,2.87920375,0
0,9.101078645,15.56644562,106.4089575,1.479444832,1.35930052,11.77223164,4.767884348,1.172714565,0,5.130878584,1.586690363,15.19715844,0,1.769407306,2.063210955,230.1291343,0.453591898,1.792529724,2.21868312,43.39490343,11.03300078,0,0,1.462437094,0
0,8.982646479,15.22086087,123.3879263,2.358741544,1.215177867,16.49352865,1.818173951,0,0,5.690812345,1.855215222,5.053496854,0,2.007498883,1.739702335,177.8311748,2.916786239,1.215177867,0,23.34989396,32.45924754,0,0,4.498887805,0.983376253
0,12.24795661,17.57846467,149.0187873,2.710483382,2.643031023,23.44785562,1.50609069,0,0,3.017213649,0,7.527082766,0,0,1.611871093,159.0337938,0,2.502186339,0,23.06780279,28.58587828,0,0.892748426,1.244146313,0
0,13.70813259,16.60367349,114.3931389,1.772842092,1.106363159,24.03710975,2.184634583,0.869974381,0,0.995137524,0,7.779794041,0,0,2.49971563,153.7780963,0,1.457761046,2.627832298,16.75109719,35.47449362,0,1.52922001,6.81737005,0
0,9.013182096,17.46563201,142.8026832,3.201020617,1.069393322,28.64238541,3.819120378,0.969309863,0,2.258977389,1.875018486,1.243746709,0.222095461,0,3.667992866,156.0997926,0,3.00914028,2.16800561,21.79120058,37.73557605,0,2.490779003,3.042150721,0
0,13.11928622,20.63667258,166.2712103,2.511944883,1.490293635,20.30120068,2.164748683,0,0,1.955656885,1.138895748,3.72275159,2.164748683,1.238979207,1.955656885,114.5553793,0,4.016944665,1.690964331,16.47307882,36.36199036,0,0.391681346,4.677196583,0.140366918
0,12.40735795,19.73044944,148.1479951,3.402354069,0.952363684,24.79431747,2.050975973,0.684099698,0,1.832722407,1.832722407,3.227635946,0,1.414987206,1.730068253,146.5554412,0,1.782711986,1.674498402,12.19671402,44.05812002,0,0.065060489,4.132865496,0
0,18.90035128,19.45497064,139.0316168,2.715801135,3.91004939,26.39385199,1.846763288,0.891251843,0.748150999,1.617188846,0,14.07828864,0,1.271678062,2.678138093,99.10666493,0,3.226626759,0,15.88957545,30.07666377,0,0,5.163195972,2.577650797
